action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,shot_zone_area,shot_zone_basic,opponent,remaining_time,2PT Field Goal,3PT Field Goal,home_court,injury
Jump Shot,Jump Shot,-157,0,1,0,2000,15,0.0,Left Side(L),Mid-Range,POR,622,True,False,0,0
Jump Shot,Jump Shot,-101,135,1,0,2000,16,1.0,Left Side Center(LC),Mid-Range,POR,465,True,False,0,0
Jump Shot,Jump Shot,138,175,1,0,2000,22,0.0,Right Side Center(RC),Mid-Range,POR,412,True,False,0,0
Driving Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,POR,379,True,False,0,0
Jump Shot,Jump Shot,-145,-11,3,0,2000,14,0.0,Left Side(L),Mid-Range,POR,572,True,False,0,0
Layup Shot,Layup,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,POR,532,True,False,0,0
Jump Shot,Jump Shot,-65,108,3,0,2000,12,1.0,Left Side(L),In The Paint (Non-RA),POR,372,True,False,0,0
Running Jump Shot,Jump Shot,-33,125,3,0,2000,12,0.0,Center(C),In The Paint (Non-RA),POR,216,True,False,0,0
Jump Shot,Jump Shot,-94,238,3,0,2000,25,0.0,Left Side Center(LC),Above the Break 3,POR,116,False,True,0,0
Jump Shot,Jump Shot,121,127,1,0,2000,17,1.0,Right Side Center(RC),Mid-Range,UTA,660,True,False,1,0
Running Jump Shot,Jump Shot,-67,110,1,0,2000,12,1.0,Left Side(L),In The Paint (Non-RA),UTA,429,True,False,1,0
Jump Shot,Jump Shot,-94,4,1,0,2000,9,0.0,Left Side(L),Mid-Range,UTA,164,True,False,1,0
Jump Shot,Jump Shot,-23,47,1,0,2000,5,0.0,Center(C),In The Paint (Non-RA),UTA,76,True,False,1,0
Jump Shot,Jump Shot,62,192,1,0,2000,20,0.0,Center(C),Mid-Range,UTA,48,True,False,1,0
Jump Shot,Jump Shot,-117,226,2,0,2000,25,1.0,Left Side Center(LC),Above the Break 3,UTA,530,False,True,1,0
