action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,opponent,remaining_time,2PT Field Goal,3PT Field Goal,Bank Shot,Dunk,Hook Shot,Jump Shot,Layup,Tip Shot,home_court,injury
Jump Shot,Jump Shot,-157,0,1,0,2000,15,0.0,POR,622,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-101,135,1,0,2000,16,1.0,POR,465,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,138,175,1,0,2000,22,0.0,POR,412,True,False,False,False,False,True,False,False,0,0
Driving Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,POR,379,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,-145,-11,3,0,2000,14,0.0,POR,572,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,0,0,3,0,2000,0,1.0,POR,532,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-65,108,3,0,2000,12,1.0,POR,372,True,False,False,False,False,True,False,False,0,0
Running Jump Shot,Jump Shot,-33,125,3,0,2000,12,0.0,POR,216,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-94,238,3,0,2000,25,0.0,POR,116,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,121,127,1,0,2000,17,1.0,UTA,660,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,-67,110,1,0,2000,12,1.0,UTA,429,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-94,4,1,0,2000,9,0.0,UTA,164,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-23,47,1,0,2000,5,0.0,UTA,76,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,62,192,1,0,2000,20,0.0,UTA,48,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-117,226,2,0,2000,25,1.0,UTA,530,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-132,97,3,0,2000,16,0.0,UTA,689,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,3,144,3,0,2000,14,0.0,UTA,608,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,134,127,3,0,2000,18,0.0,UTA,544,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,-16,110,3,0,2000,11,1.0,UTA,477,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,-109,150,3,0,2000,18,1.0,UTA,347,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,-46,63,3,0,2000,7,1.0,UTA,311,True,False,False,False,False,True,False,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,0.0,UTA,156,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,-58,196,3,0,2000,20,0.0,UTA,124,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-183,186,3,0,2000,26,0.0,UTA,30,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,85,173,4,0,2000,19,0.0,UTA,499,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,3,87,4,0,2000,8,0.0,UTA,382,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,121,4,4,0,2000,12,1.0,UTA,80,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,127,34,4,0,2000,13,0.0,UTA,30,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,91,184,2,0,2000,20,1.0,VAN,210,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-27,272,2,0,2000,27,1.0,VAN,4,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-176,66,3,0,2000,18,0.0,VAN,672,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,7,4,3,0,2000,0,1.0,VAN,613,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,150,133,3,0,2000,20,1.0,VAN,539,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,49,15,3,0,2000,5,0.0,VAN,509,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,-4,4,3,0,2000,0,1.0,VAN,201,True,False,False,False,False,False,True,False,0,0
Reverse Dunk Shot,Dunk,-4,4,3,0,2000,0,0.0,VAN,175,True,False,False,True,False,False,False,False,0,0
Slam Dunk Shot,Dunk,1,9,3,0,2000,0,1.0,VAN,158,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,121,120,4,0,2000,17,1.0,VAN,295,True,False,False,False,False,True,False,False,0,0
Layup Shot,Layup,1,9,4,0,2000,0,0.0,VAN,68,True,False,False,False,False,False,True,False,0,0
Layup Shot,Layup,-12,9,4,0,2000,1,0.0,VAN,66,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,24,70,1,0,2000,7,0.0,LAC,633,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-189,-4,1,0,2000,18,0.0,LAC,604,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-155,194,1,0,2000,24,0.0,LAC,153,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,1,228,2,0,2000,22,1.0,LAC,686,False,True,False,False,False,True,False,False,1,0
Driving Layup Shot,Layup,0,0,2,0,2000,0,1.0,LAC,520,True,False,False,False,False,False,True,False,1,0
Slam Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,LAC,245,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,-33,108,2,0,2000,11,0.0,LAC,122,True,False,False,False,False,True,False,False,1,0
Layup Shot,Layup,22,49,2,0,2000,5,1.0,LAC,47,True,False,False,False,False,False,True,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2000,0,0.0,LAC,572,True,False,False,False,False,False,True,False,1,0
Driving Layup Shot,Layup,56,21,3,0,2000,5,0.0,LAC,37,True,False,False,False,False,False,True,False,1,0
Running Jump Shot,Jump Shot,121,26,3,0,2000,12,1.0,LAC,1,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,231,57,1,0,2000,23,0.0,HOU,497,False,True,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,1.0,HOU,473,True,False,False,False,False,False,True,False,0,0
Driving Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,HOU,421,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,7,257,1,0,2000,25,1.0,HOU,191,False,True,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,2,0,2000,0,1.0,HOU,476,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,51,57,2,0,2000,7,0.0,HOU,160,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,167,190,2,0,2000,25,0.0,HOU,10,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-119,190,3,0,2000,22,1.0,HOU,662,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,16,57,3,0,2000,5,0.0,HOU,550,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-84,110,3,0,2000,13,0.0,HOU,444,True,False,False,False,False,True,False,False,0,0
